Countries,DATE,Year,cyb_strategy,total_strategies
AFG,20141101,2014,1,1
ALB,20150101,2015,1,2
DZA,NA,NA,0,0
AND,NA,NA,0,0
AGO,NA,NA,0,0
ATG,20180101,2018,1,0
ARG,20240528,2024,1,1
ARM,20171023,2017,1,1
AUS,20090101,2009,1,4
AUT,20130301,2013,1,2
AZE,20230830,2023,1,1
BHS,NA,NA,0,0
BHR,20170101,2017,1,2
BGD,20140101,2014,1,2
BRB,NA,NA,0,0
BLR,20190101,2019,1,1
BEL,20121123,2012,1,2
BLZ,20191201,2019,1,1
BEN,20200101,2020,1,1
BTN,NA,NA,0,0
BOL,NA,NA,0,0
BIH,NA,NA,0,0
BWA,20150815,2015,1,1
BRA,20150317,2015,1,2
BRN,NA,NA,0,0
BGR,20160718,2016,1,2
BFA,20101220,2010,1,2
BDI,NA,NA,0,0
CPV,NA,NA,0,0
KHM,NA,NA,0,0
CMR,NA,NA,0,0
CAN,20101003,2010,1,3
CAF,NA,NA,0,0
TCD,20120813,2012,1,1
CHL,20170101,2017,1,2
CHN,20161227,2016,1,1
COL,20110714,2011,1,3
COM,NA,NA,0,0
COG,20190801,2019,1,1
CRI,20171001,2017,1,3
CIV,20211116,2021,1,1
HRV,20151007,2015,1,1
CUB,NA,NA,0,0
CYP,20120423,2012,1,2
CZE,20110101,2011,1,3
PRK,NA,NA,0,0
COD,NA,NA,0,0
DNK,20141201,2014,1,3
DJI,NA,NA,0,0
DMA,NA,NA,0,0
DOM,20220101,2022,1,1
ECU,20220514,2022,1,1
EGY,20170101,2017,1,2
SLV,NA,NA,0,0
GNQ,NA,NA,0,0
ERI,NA,NA,0,0
EST,20080101,2008,1,4
SWZ,20200101,2020,1,2
ETH,20211001,2021,1,1
FJI,20160101,2016,1,2
FIN,20130101,2013,1,3
FRA,20110101,2011,1,3
GAB,NA,NA,0,0
GMB,20200601,2020,1,2
GEO,20120101,2012,1,3
DEU,20110201,2011,1,3
GHA,20150723,2015,1,2
GRC,20180307,2018,1,2
GRD,NA,NA,0,0
GTM,20180301,2018,1,1
GIN,20220407,2022,1,1
GNB,NA,NA,0,0
GUY,NA,NA,0,0
HTI,NA,NA,0,0
HND,NA,NA,0,0
HUN,20130321,2013,1,2
ISL,20150401,2015,1,2
IND,20130101,2013,1,2
IDN,20170101,2017,1,2
IRN,NA,NA,0,0
IRQ,20161206,2016,1,0
IRL,20150101,2015,1,2
ISR,20170901,2017,1,1
ITA,20131201,2013,1,3
JAM,20150101,2015,1,1
JPN,20060202,2006,1,7
JOR,20120101,2012,1,2
KAZ,20170101,2017,1,1
KEN,20140201,2014,1,2
KIR,20200101,2020,1,1
KWT,20170101,2017,1,1
KGZ,20190724,2019,1,1
LAO,NA,NA,0,0
LVA,20140101,2014,1,2
LBN,20190601,2019,1,1
LSO,NA,NA,0,0
LBR,20170101,2017,1,2
LBY,20200101,2020,1,1
LIE,NA,NA,0,0
LTU,20110629,2011,1,3
LUX,20110101,2011,1,4
MDG,NA,NA,0,0
MWI,20170321,2017,1,2
MYS,20060101,2006,1,2
MDV,NA,NA,0,0
MLI,NA,NA,0,0
MLT,20160101,2016,1,2
MHL,NA,NA,0,0
MRT,20190101,2019,1,2
MUS,20140101,2014,1,2
MEX,20170101,2017,1,1
FSM,NA,NA,0,0
MDA,20190218,2019,1,1
MCO,20170101,2017,1,1
MNG,20220101,2022,1,1
MNE,20130701,2013,1,2
MAR,20121205,2012,1,2
MOZ,20161002,2016,1,1
MMR,NA,NA,0,0
NAM,20220101,2022,1,0
NRU,NA,NA,0,0
NPL,20160801,2016,1,1
NLD,20110101,2011,1,4
NZL,20110601,2011,1,3
NIC,20200929,2020,1,1
NER,20221201,2022,1,1
NGA,20141201,2014,1,2
MKD,20180717,2018,1,1
NOR,20030101,2003,1,3
OMN,NA,NA,0,0
PAK,20210701,2021,1,1
PLW,20220601,2022,1,1
PAN,20130312,2013,1,2
PNG,20240404,2024,1,1
PRY,20170417,2017,1,1
PER,20150409,2015,1,2
PHL,20050101,2005,1,2
POL,20130625,2013,1,3
PRT,20131201,2013,1,3
QAT,20140501,2014,1,2
ROU,20130101,2013,1,2
RUS,20000909,2000,1,4
RWA,20150301,2015,1,2
KNA,NA,NA,0,0
LCA,NA,NA,0,0
VCT,NA,NA,0,0
WSM,20160101,2016,1,1
SMR,NA,NA,0,0
STP,NA,NA,0,0
SAU,20130101,2013,1,2
SEN,20171101,2017,1,1
SRB,20170530,2017,1,2
SYC,20190101,2019,1,1
SLE,20161027,2016,1,2
SGP,20160101,2016,1,2
SVK,20150101,2015,1,2
SVN,20160201,2016,1,1
SLB,NA,NA,0,0
SOM,NA,NA,0,0
ZAF,20151204,2015,1,1
KOR,20110802,2011,1,3
SSD,NA,NA,0,0
ESP,20130101,2013,1,3
LKA,20181101,2018,1,1
SDN,NA,NA,0,0
SUR,NA,NA,0,0
SWE,20170622,2017,1,1
CHE,20120619,2012,1,2
SYR,20140101,2014,1,1
TJK,20031105,2003,1,2
TZA,20220101,2022,1,1
THA,20170101,2017,1,1
TLS,NA,NA,0,0
TGO,20240101,2024,1,1
TON,NA,NA,0,0
TTO,20121201,2012,1,1
TUN,20200101,2020,1,1
TUR,20130101,2013,1,3
TKM,NA,NA,0,0
TUV,NA,NA,0,0
UGA,20141102,2014,1,2
UKR,20160315,2016,1,2
ARE,20190601,2019,1,1
GBR,20090601,2009,1,4
USA,20030201,2003,1,3
URY,20140417,2014,1,1
UZB,20160223,2016,1,1
VUT,20130101,2013,1,2
VEN,NA,NA,0,0
VNM,20160101,2016,1,2
YEM,NA,NA,0,0
ZMB,20210301,2021,1,1
ZWE,NA,NA,0,0
